Player,Category,CORRECT,DISCOUNTED,INCORRECT
Alperen Sengun,FG Attempted,1.0,0.0,0.0
Alperen Sengun,Pts+Rebs+Asts,2.0,0.0,0.0
Andrew Nembhard,Assists,0.0,0.0,2.0
Anfernee Simons,Assists,0.0,1.0,0.0
Anthony Davis,FG Attempted,1.0,0.0,0.0
Anthony Davis,Pts+Asts,1.0,0.0,0.0
Anthony Davis,Pts+Rebs+Asts,2.0,0.0,4.0
Anthony Edwards,FG Attempted,2.0,0.0,0.0
Anthony Edwards,Pts+Rebs+Asts,2.0,0.0,2.0
Austin Reaves,Pts+Rebs+Asts,1.0,0.0,0.0
Bam Adebayo,Pts+Rebs+Asts,1.0,0.0,0.0
Bradley Beal,Assists,0.0,0.0,1.0
Bradley Beal,Pts+Asts,1.0,0.0,1.0
Bradley Beal,Pts+Rebs+Asts,1.0,0.0,1.0
Brandon Ingram,FG Attempted,1.0,0.0,1.0
Brandon Ingram,Pts+Rebs+Asts,2.0,0.0,0.0
Brandon Miller,FG Attempted,1.0,0.0,0.0
Brandon Miller,Pts+Asts,2.0,0.0,1.0
Brandon Miller,Pts+Rebs+Asts,1.0,0.0,2.0
CJ McCollum,Pts+Rebs+Asts,1.0,0.0,0.0
Cade Cunningham,FG Attempted,0.0,0.0,1.0
Cade Cunningham,Pts+Asts,1.0,0.0,0.0
Cade Cunningham,Pts+Rebs+Asts,1.0,0.0,0.0
Cam Thomas,FG Attempted,2.0,0.0,0.0
Coby White,FG Attempted,1.0,0.0,0.0
Coby White,Pts+Asts,1.0,0.0,0.0
Coby White,Pts+Rebs+Asts,1.0,0.0,2.0
Damian Lillard,Assists,1.0,0.0,0.0
Damian Lillard,FG Attempted,1.0,0.0,1.0
Damian Lillard,Pts+Asts,3.0,0.0,0.0
Damian Lillard,Pts+Rebs+Asts,5.0,0.0,1.0
Darius Garland,Pts+Asts,0.0,0.0,1.0
Darius Garland,Pts+Rebs+Asts,0.0,0.0,1.0
De'Aaron Fox,FG Attempted,1.0,0.0,1.0
De'Aaron Fox,Pts+Rebs+Asts,1.0,0.0,0.0
DeMar DeRozan,FG Attempted,1.0,0.0,0.0
DeMar DeRozan,Pts+Asts,1.0,0.0,0.0
Dejounte Murray,Assists,1.0,1.0,0.0
Dejounte Murray,FG Attempted,0.0,0.0,1.0
Dejounte Murray,Pts+Asts,1.0,0.0,1.0
Deni Avdija,Pts+Asts,0.0,0.0,1.0
Dennis Schroder,Assists,0.0,0.0,1.0
Dennis Schroder,Pts+Asts,1.0,0.0,0.0
