Category,Player,Line,Prediction,Prob,Result,Date
Pts+Rebs,Alperen Sengun,31.5,UNDER,0.14177978883861236,30.15520668029785,01-06-2024
Pts+Rebs,Daniel Gafford,16.5,OVER,0.14177978883861236,18.167795181274414,01-06-2024
Pts+Rebs,Brook Lopez,17.5,OVER,0.14177978883861236,18.799564361572266,01-06-2024
Pts+Asts,Deni Avdija,17.5,UNDER,0.1588502269288956,16.19788360595703,01-06-2024
Pts+Rebs,Khris Middleton,20.5,UNDER,0.19155354449472098,18.55527687072754,01-06-2024
Pts+Asts,Fred VanVleet,26.5,UNDER,0.2102874432677761,24.740617752075195,01-06-2024
Pts+Asts,Jordan Poole,20.5,UNDER,0.2102874432677761,18.707870483398438,01-06-2024
Pts+Asts,Tyus Jones,19.5,UNDER,0.2102874432677761,17.58889389038086,01-06-2024
Pts+Rebs,Jayson Tatum,36.5,UNDER,0.24132730015082957,34.011268615722656,01-06-2024
Pts+Asts,Damian Lillard,32.5,UNDER,0.26021180030257185,30.060546875,01-06-2024
Pts+Asts,Khris Middleton,21.5,UNDER,0.26021180030257185,18.75473403930664,01-06-2024
Pts+Rebs,Isaiah Hartenstein,20.5,UNDER,0.2895927601809955,17.70160484313965,01-06-2024
Pts+Asts,Giannis Antetokounmpo,38.5,UNDER,0.3721633888048411,35.02507781982422,01-06-2024
Pts+Asts,Tyrese Haliburton,37.5,UNDER,0.42208774583963693,33.73133850097656,01-06-2024
Pts+Asts,Jalen Brunson,34.5,UNDER,0.42208774583963693,30.74222183227539,01-06-2024
Assists,Kyle Kuzma,3.5,OVER,0.4469964664310954,4.5604023933410645,01-06-2024
Assists,Jalen Green,2.5,OVER,0.4469964664310954,3.511040687561035,01-06-2024
Assists,Giannis Antetokounmpo,6.5,UNDER,0.4469964664310954,5.741715431213379,01-06-2024
Assists,Khris Middleton,5.5,UNDER,0.4469964664310954,4.742188930511475,01-06-2024
Pts+Rebs,Giannis Antetokounmpo,45.5,UNDER,0.4781297134238311,40.61312484741211,01-06-2024
