Category,Player,Line,Prediction,Prob,Result,Date,bet_type
Pts+Asts,Coby White,27.5,UNDER,0.42208774583963693,23.71010971069336,01-25-2024,combo
Pts+Rebs+Asts,Nikola Vucevic,34.5,UNDER,0.3595166163141994,30.6478271484375,01-25-2024,combo
Pts+Rebs+Asts,LeBron James,40.5,UNDER,0.2794561933534743,37.7141227722168,01-25-2024,combo
Pts+Rebs,Harrison Barnes,12.5,OVER,0.3257918552036199,15.943964004516602,01-25-2024,combo
Pts+Rebs+Asts,Jamal Murray,35.5,UNDER,0.3595166163141994,31.376258850097656,01-25-2024,combo
Pts+Asts,LeBron James,33.5,UNDER,0.3721633888048411,30.15571403503418,01-25-2024,combo
Pts+Asts,Joel Embiid,41.5,UNDER,0.3146747352496218,38.386962890625,01-25-2024,6
Pts+Asts,Coby White,27.5,UNDER,0.42208774583963693,23.71010971069336,01-25-2024,6
Pts+Rebs+Asts,Nikola Vucevic,34.5,UNDER,0.3595166163141994,30.6478271484375,01-25-2024,6
Pts+Rebs+Asts,Joel Embiid,53.5,UNDER,0.31722054380664655,50.181819915771484,01-25-2024,6
Pts+Asts,Domantas Sabonis,29.5,UNDER,0.26021180030257185,26.767627716064453,01-25-2024,6
Pts+Rebs,Joel Embiid,48.5,UNDER,0.38763197586727,44.42203140258789,01-25-2024,6
Pts+Rebs,Harrison Barnes,12.5,OVER,0.3257918552036199,15.943964004516602,01-25-2024,5
Pts+Asts,LeBron James,33.5,UNDER,0.3721633888048411,30.15571403503418,01-25-2024,5
Pts+Asts,Lauri Markkanen,27.5,UNDER,0.3721633888048411,23.8337459564209,01-25-2024,5
Pts+Rebs+Asts,Nikola Vucevic,34.5,UNDER,0.3595166163141994,30.6478271484375,01-25-2024,5
Pts+Asts,Jalen Brunson,35.5,UNDER,0.3721633888048411,31.98602867126465,01-25-2024,5
Pts+Asts,Jalen Brunson,35.5,UNDER,0.3721633888048411,31.98602867126465,01-25-2024,4
Pts+Asts,Lauri Markkanen,27.5,UNDER,0.3721633888048411,23.8337459564209,01-25-2024,4
Pts+Asts,Joel Embiid,41.5,UNDER,0.3146747352496218,38.386962890625,01-25-2024,4
Pts+Asts,Stephen Curry,32.5,UNDER,0.3146747352496218,29.689050674438477,01-25-2024,4
Pts+Asts,Tyrese Maxey,36.5,UNDER,0.6111951588502269,30.477210998535156,01-25-2024,3
Pts+Rebs+Asts,Domantas Sabonis,43.5,UNDER,0.31722054380664655,39.80931854248047,01-25-2024,3
Pts+Asts,Joel Embiid,41.5,UNDER,0.3146747352496218,38.386962890625,01-25-2024,3
