Category,Player,Line,Prediction,Prob,Result,Odds,Threshold,Date,ZScore
Pts+Rebs,Markelle Fultz,13.5,OVER,0.14177978883861236,15.126274108886719,standard,1.5,01-28-2024,0.2443062411878288
Pts+Rebs,Bojan Bogdanovic,23.5,OVER,0.14177978883861236,24.789644241333008,standard,1.5,01-28-2024,0.11012323881117904
Pts+Rebs,Franz Wagner,24.5,OVER,0.14177978883861236,25.994251251220703,standard,1.5,01-28-2024,-0.011773533714322626
Pts+Rebs,John Konchar,12.5,UNDER,0.14177978883861236,10.879547119140625,standard,1.5,01-28-2024,0.02530222686169093
Pts+Rebs,Andrew Nembhard,14.5,OVER,0.14177978883861236,16.04080581665039,standard,1.5,01-28-2024,0.325599970230725
Pts+Asts,Dejounte Murray,28.5,UNDER,0.1588502269288956,26.759201049804688,standard,1.5,01-28-2024,0.029152771934071318
Pts+Asts,Jalen Williams,23.5,UNDER,0.1588502269288956,21.87543296813965,standard,1.5,01-28-2024,-0.19400424735020727
Pts+Asts,Kevin Durant,32.5,UNDER,0.1588502269288956,30.910175323486328,standard,1.5,01-28-2024,-0.4063724708031592
Pts+Asts,Isaiah Stewart,11.5,OVER,0.1588502269288956,13.160788536071777,standard,1.5,01-28-2024,0.1345663745086767
Pts+Asts,Myles Turner,16.5,OVER,0.1588502269288956,17.863544464111328,standard,1.5,01-28-2024,-0.10885099804936202
Pts+Rebs,Aaron Nesmith,16.5,OVER,0.19155354449472098,18.74567413330078,standard,2.0,01-28-2024,0.19423190039162577
Pts+Rebs,Shai Gilgeous-Alexander,37.5,UNDER,0.19155354449472098,35.395931243896484,standard,2.0,01-28-2024,-0.16686768975844313
Pts+Rebs,Isaiah Stewart,16.5,OVER,0.19155354449472098,18.541109085083008,standard,2.0,01-28-2024,0.17682322014986204
Pts+Rebs,Vince Williams Jr.,20.5,UNDER,0.24132730015082957,18.012571334838867,standard,2.5,01-28-2024,-0.06882663933000507
Pts+Rebs,Myles Turner,22.5,OVER,0.24132730015082957,24.97916603088379,standard,2.5,01-28-2024,0.09477425736256714
Pts+Rebs,Devin Booker,35.5,UNDER,0.24132730015082957,32.99554443359375,standard,2.5,01-28-2024,-0.04427053728429336
Pts+Asts,Wendell Carter Jr.,15.5,UNDER,0.26021180030257185,13.023871421813965,standard,2.5,01-28-2024,0.43405800436089814
Pts+Rebs,Nikola Vucevic,30.5,UNDER,0.2895927601809955,27.695720672607422,standard,3.0,01-28-2024,0.011599965969915018
Pts+Rebs,Trae Young,28.5,OVER,0.2895927601809955,31.5821590423584,standard,3.0,01-28-2024,0.1737196958271116
Pts+Rebs,Scottie Barnes,31.5,UNDER,0.2895927601809955,28.710643768310547,standard,3.0,01-28-2024,0.015420394366293902
Pts+Rebs,DeMar DeRozan,29.5,UNDER,0.2895927601809955,26.452178955078125,standard,3.0,01-28-2024,0.04455786149300917
Pts+Rebs,Cade Cunningham,24.5,OVER,0.2895927601809955,27.368087768554688,standard,3.0,01-28-2024,0.05427224518660154
Pts+Rebs,Wendell Carter Jr.,22.5,UNDER,0.3257918552036199,18.755115509033203,standard,3.5,01-28-2024,0.3807381458079625
Pts+Asts,Coby White,27.5,UNDER,0.3721633888048411,24.02332305908203,standard,3.5,01-28-2024,0.02055715522828909
Pts+Asts,Vince Williams Jr.,18.5,UNDER,0.3721633888048411,15.020293235778809,standard,3.5,01-28-2024,0.05636517778395721
