Category,Player,Line,Prediction,Prob,Result,Odds,Threshold,Date,bet_type
Fantasy Score,Kevin Huerter,24.0,UNDER,0.1443932411674347,22.24540138244629,standard,2.0,01-29-2024,combo
Pts+Rebs,Brook Lopez,17.5,OVER,0.2895927601809955,20.454952239990234,standard,3.0,01-29-2024,combo
Pts+Rebs,Devin Booker,34.5,UNDER,0.14177978883861236,33.0452880859375,standard,1.5,01-29-2024,combo
Pts+Asts,Marvin Bagley III,13.0,OVER,0.481089258698941,17.31842613220215,standard,4.5,01-29-2024,combo
Pts+Asts,Keldon Johnson,18.5,OVER,0.2102874432677761,20.56315040588379,standard,2.0,01-29-2024,combo
Rebounds,Evan Mobley,6.0,OVER,0.9304897314375987,10.998381614685059,standard,5.0,01-29-2024,combo
Fantasy Score,Devin Vassell,34.0,UNDER,0.3717357910906298,28.622159957885742,standard,5.5,01-29-2024,6
Pts+Rebs,Walker Kessler,13.5,OVER,0.5203619909502263,18.780200958251953,standard,5.5,01-29-2024,6
Pts+Rebs,Jamal Murray,28.5,UNDER,0.3257918552036199,25.015331268310547,standard,3.5,01-29-2024,6
Points,Anthony Edwards,27.5,UNDER,0.4394409937888199,23.7957820892334,standard,3.5,01-29-2024,6
Fantasy Score,Giannis Antetokounmpo,57.5,UNDER,0.27035330261136714,53.474769592285156,standard,4.0,01-29-2024,6
Pts+Rebs,Jonas Valanciunas,21.5,OVER,0.14177978883861236,22.82836151123047,standard,1.5,01-29-2024,6
Fantasy Score,Nicolas Claxton,40.0,UNDER,0.44086021505376344,33.41820526123047,standard,6.5,01-29-2024,5
Pts+Rebs,Keldon Johnson,21.5,OVER,0.14177978883861236,23.083927154541016,standard,1.5,01-29-2024,5
Fantasy Score,Paolo Banchero,42.0,UNDER,0.24731182795698925,38.29782485961914,standard,3.5,01-29-2024,5
Pts+Asts,Daniel Gafford,13.5,UNDER,0.1588502269288956,12.029773712158203,standard,1.5,01-29-2024,5
Assists,Jalen Brunson,7.5,UNDER,0.5979381443298969,5.787433624267578,standard,1.5,01-29-2024,5
Pts+Rebs,Donovan Mitchell,34.5,UNDER,0.14177978883861236,33.015594482421875,standard,1.5,01-29-2024,4
Pts+Rebs,Spencer Dinwiddie,15.5,OVER,0.14177978883861236,17.202190399169922,standard,1.5,01-29-2024,4
Pts+Rebs,Miles Bridges,32.5,UNDER,0.3257918552036199,28.978065490722656,standard,3.5,01-29-2024,4
Pts+Rebs,Cody Martin,11.5,OVER,0.14177978883861236,12.937840461730957,standard,1.5,01-29-2024,4
Pts+Asts,Jimmy Butler,25.5,UNDER,0.2102874432677761,23.65937614440918,standard,2.0,01-29-2024,3
Pts+Asts,Reggie Jackson,10.5,OVER,0.9046898638426626,22.29912567138672,standard,12.0,01-29-2024,3
Pts+Asts,Kevin Durant,28.5,OVER,0.1588502269288956,30.168231964111328,standard,1.5,01-29-2024,3
