Category,Player,Line,Prediction,Prob,Result,Odds,Threshold,Date,stev
Pts+Rebs+Asts,Tyrese Haliburton,38.5,UNDER,0.5181268882175226,32.53904342651367,standard,6.0,02-14-2024,11.30222296287058
Pts+Asts,Tyrese Haliburton,34.5,UNDER,0.518910741301059,29.593944549560547,standard,5.0,02-14-2024,10.708612900086662
Pts+Rebs+Asts,Jarrett Allen,32.5,UNDER,0.45317220543806647,27.491334915161133,standard,5.0,02-14-2024,9.86870327590338
Pts+Rebs+Asts,Tyrese Maxey,38.5,UNDER,0.5181268882175226,32.62715148925781,standard,6.0,02-14-2024,9.35272175654334
Pts+Rebs+Asts,Jaren Jackson Jr.,34.5,UNDER,0.45317220543806647,29.674663543701172,standard,5.0,02-14-2024,9.307469021803767
Pts+Rebs+Asts,Alperen Sengun,36.5,UNDER,0.45317220543806647,31.707550048828125,standard,5.0,02-14-2024,9.049450205377552
Pts+Rebs+Asts,Paul George,34.5,UNDER,0.5181268882175226,28.291458129882812,standard,6.0,02-14-2024,8.766473853824424
Pts+Rebs+Asts,Miles Bridges,37.5,UNDER,0.4909365558912387,32.22611999511719,standard,5.5,02-14-2024,8.629188141951929
Pts+Rebs+Asts,Scottie Barnes,37.5,UNDER,0.4909365558912387,32.042015075683594,standard,5.5,02-14-2024,8.497872467740818
Pts+Asts,Tyrese Maxey,35.5,UNDER,0.5658093797276853,29.767608642578125,standard,5.5,02-14-2024,8.461400677100672
Pts+Rebs+Asts,Brandon Ingram,37.5,UNDER,0.554380664652568,30.887542724609375,standard,6.5,02-14-2024,8.453806050217494
Pts+Rebs+Asts,James Harden,35.5,UNDER,0.554380664652568,28.90277671813965,standard,6.5,02-14-2024,8.386785096281395
Pts+Asts,Paul George,28.5,UNDER,0.518910741301059,23.739845275878906,standard,5.0,02-14-2024,8.20393328084741
Pts+Rebs+Asts,Bam Adebayo,39.5,UNDER,0.554380664652568,33.1676025390625,standard,6.5,02-14-2024,7.710788346295935
Pts+Asts,James Harden,29.5,UNDER,0.518910741301059,24.621925354003906,standard,5.0,02-14-2024,7.402180120167366
Assists,Tyrese Haliburton,12.0,UNDER,0.7130584192439863,10.11591911315918,standard,2.0,02-14-2024,4.21538992207387
FG Attempted,Miles Bridges,19.5,UNDER,0.5355987055016181,17.149812698364258,standard,2.5,02-14-2024,3.947017528263721
