Category,Player,Line,Prediction,Prob,Result,Odds,Threshold,Date
Points,Anthony Edwards,34.5,UNDER,0.8043478260869565,26.060558319091797,demon,8.5,02-15-2024
Assists,Stephen Curry,7.5,UNDER,0.7903780068728522,5.174397945404053,demon,2.5,02-15-2024
Points,Karl-Anthony Towns,29.5,UNDER,0.7841614906832298,21.46476936340332,demon,8.0,02-15-2024
Rebounds,Rudy Gobert,15.5,UNDER,0.7725118483412322,12.504158020019531,demon,3.0,02-15-2024
3-PT Made,Anthony Edwards,4.5,UNDER,0.7631578947368421,2.7662477493286133,demon,1.5,02-15-2024
3-PT Made,Klay Thompson,4.5,UNDER,0.7631578947368421,2.992034435272217,demon,1.5,02-15-2024
3-PT Made,Karl-Anthony Towns,3.5,UNDER,0.7631578947368421,2.1742560863494873,demon,1.5,02-15-2024
3-PT Made,Stephen Curry,6.5,UNDER,0.7631578947368421,4.834563255310059,demon,1.5,02-15-2024
Blocked Shots,Andrew Wiggins,1.5,UNDER,0.7468354430379747,0.6096794605255127,demon,1.0,02-15-2024
Blocked Shots,John Collins,1.5,UNDER,0.7468354430379747,0.6096794605255127,demon,1.0,02-15-2024
Blocked Shots,Deandre Ayton,1.5,UNDER,0.7468354430379747,0.6096794605255127,demon,1.0,02-15-2024
Assists,Mike Conley,8.5,UNDER,0.7130584192439863,6.5061869621276855,demon,2.0,02-15-2024
Assists,Anfernee Simons,7.5,UNDER,0.7130584192439863,5.536538124084473,demon,2.0,02-15-2024
Steals,Klay Thompson,1.5,UNDER,0.6963350785340314,0.6784272789955139,demon,1.0,02-15-2024
Steals,John Collins,1.5,UNDER,0.6963350785340314,0.5836777687072754,demon,1.0,02-15-2024
Steals,Rudy Gobert,1.5,UNDER,0.6963350785340314,0.7086300849914551,demon,1.0,02-15-2024
Steals,Lauri Markkanen,1.5,UNDER,0.6963350785340314,0.7192250490188599,demon,1.0,02-15-2024
Points,Anfernee Simons,29.5,UNDER,0.6925465838509317,22.917478561401367,demon,6.5,02-15-2024
Points,Rudy Gobert,19.5,UNDER,0.6149068322981367,13.973052024841309,demon,5.5,02-15-2024
Points,Deandre Ayton,19.5,UNDER,0.6149068322981367,14.239785194396973,demon,5.5,02-15-2024
Assists,Collin Sexton,6.5,UNDER,0.5979381443298969,5.061703205108643,demon,1.5,02-15-2024
Assists,Klay Thompson,3.5,UNDER,0.5979381443298969,2.142681360244751,demon,1.5,02-15-2024
3-PT Made,Brook Lopez,2.5,UNDER,0.5789473684210527,1.675729751586914,demon,1.0,02-15-2024
3-PT Made,Anfernee Simons,4.5,UNDER,0.5789473684210527,3.38688325881958,demon,1.0,02-15-2024
Rebounds,Karl-Anthony Towns,9.5,UNDER,0.5687203791469194,7.53697395324707,demon,2.0,02-15-2024
Points,John Collins,19.5,UNDER,0.5652173913043478,14.61127758026123,demon,5.0,02-15-2024
Steals,Mike Conley,1.5,UNDER,0.5602094240837696,0.9876319766044617,demon,0.5,02-15-2024
Steals,Anthony Edwards,1.5,UNDER,0.5602094240837696,1.1312716007232666,demon,0.5,02-15-2024
Steals,Andrew Wiggins,1.5,UNDER,0.5602094240837696,0.7742197513580322,demon,0.5,02-15-2024
Steals,Draymond Green,1.5,UNDER,0.5602094240837696,0.9079176783561707,demon,0.5,02-15-2024
Steals,Keyonte George,1.5,UNDER,0.5602094240837696,0.8950324058532715,demon,0.5,02-15-2024
Steals,Collin Sexton,1.5,UNDER,0.5602094240837696,0.8854783773422241,demon,0.5,02-15-2024
Points,Mike Conley,14.5,UNDER,0.531055900621118,10.160541534423828,demon,4.5,02-15-2024
Rebounds,Anthony Edwards,6.5,UNDER,0.4676145339652449,5.107074737548828,demon,1.5,02-15-2024
Assists,Anthony Edwards,6.5,UNDER,0.4536082474226804,5.470586776733398,demon,1.0,02-15-2024
Assists,Jerami Grant,4.5,UNDER,0.4536082474226804,3.4233508110046387,demon,1.0,02-15-2024
Points,Jerami Grant,24.5,UNDER,0.4394409937888199,21.236513137817383,demon,3.5,02-15-2024
Rebounds,Deandre Ayton,11.5,UNDER,0.3380726698262243,10.367473602294922,demon,1.0,02-15-2024
Rebounds,Klay Thompson,4.5,UNDER,0.3380726698262243,3.385816812515259,demon,1.0,02-15-2024
3-PT Made,Collin Sexton,2.5,UNDER,0.31798245614035087,1.8480632305145264,demon,0.5,02-15-2024
3-PT Made,Mike Conley,2.5,UNDER,0.31798245614035087,2.024367570877075,demon,0.5,02-15-2024
Assists,Karl-Anthony Towns,3.5,UNDER,0.24054982817869416,3.1743593215942383,demon,0.5,02-15-2024
Rebounds,Anfernee Simons,3.5,OVER,0.18799368088467613,3.888643264770508,demon,0.5,02-15-2024
Rebounds,Mike Conley,3.5,UNDER,0.18799368088467613,3.0866756439208984,demon,0.5,02-15-2024
Blocked Shots,Collin Sexton,0.5,OVER,0.0,0.6096794605255127,demon,0.0,02-15-2024
Blocked Shots,Keyonte George,0.5,OVER,0.0,0.6096794605255127,demon,0.0,02-15-2024
3-PT Made,Andrew Wiggins,1.5,UNDER,0.0,1.3867748975753784,demon,0.0,02-15-2024
Assists,Deandre Ayton,1.5,OVER,0.0,1.7371524572372437,demon,0.0,02-15-2024
3-PT Made,John Collins,1.5,UNDER,0.0,1.3036272525787354,demon,0.0,02-15-2024
